309.731, 129.488, 3.991,  4.379 False
309.597, 129.488, 4.021,  4.412 False
309.463, 129.488, 4.053,  4.445 False
309.327, 129.488, 4.082,  4.478 False
309.190, 129.488, 4.114,  4.511 False
309.052, 129.488, 4.143,  4.544 False
308.913, 129.487, 4.174,  4.577 False
308.773, 129.487, 4.204,  4.610 False
308.633, 129.487, 4.235,  4.643 False
308.491, 129.487, 4.264,  4.676 False
308.348, 129.487, 4.296,  4.709 False
308.204, 129.487, 4.325,  4.742 False
308.059, 129.487, 4.357,  4.775 False
307.913, 129.487, 4.386,  4.808 False
307.766, 129.487, 4.417,  4.841 False
307.618, 129.487, 4.447,  4.874 False
307.469, 129.486, 4.478,  4.907 False
307.319, 129.486, 4.507,  4.940 False
307.168, 129.486, 4.538,  4.973 False
307.016, 129.487, 4.567,  5.006 False
306.863, 129.488, 4.598,  5.039 False
306.709, 129.488, 4.627,  5.072 False
306.554, 129.488, 4.659,  5.105 False
306.398, 129.488, 4.688,  5.138 False
306.241, 129.488, 4.720,  5.171 False
306.083, 129.489, 4.749,  5.204 False
305.924, 129.489, 4.780,  5.237 False
305.764, 129.489, 4.809,  5.270 False
305.602, 129.489, 4.840,  5.303 False
305.440, 129.489, 4.869,  5.336 False
305.277, 129.489, 4.900,  5.369 False
305.113, 129.489, 4.929,  5.402 False
304.948, 129.489, 4.960,  5.435 False
304.782, 129.489, 4.989,  5.468 False
304.615, 129.490, 5.020,  5.501 False
304.447, 129.490, 5.048,  5.534 False
304.278, 129.490, 5.080,  5.567 False
304.108, 129.490, 5.108,  5.600 False
303.937, 129.490, 5.140,  5.633 False
303.765, 129.490, 5.169,  5.666 False
303.592, 129.490, 5.200,  5.699 False
303.418, 129.493, 5.219,  5.732 False
303.244, 129.497, 5.226,  5.765 False
303.070, 129.502, 5.220,  5.798 False
302.897, 129.507, 5.220,  5.831 False
302.723, 129.513, 5.228,  5.864 False
302.548, 129.520, 5.248,  5.897 False
302.373, 129.526, 5.275,  5.930 False
302.196, 129.531, 5.312,  5.963 False
302.018, 129.538, 5.350,  5.996 False
301.838, 129.545, 5.394,  6.029 False
301.657, 129.552, 5.436,  6.062 False
